timestamp,water_temp,oat,heater_state,pump_state,pump_speed,waterfall_state,forecast_high,swimming_day
2026-04-08 20:10:00,78,64,off,on,55,off,75.0,No - Forecast 75.0°F
2026-04-08 20:20:00,unknown,64,off,off,0,off,75.0,No - Forecast 75.0°F
2026-04-08 20:30:00,78,64,off,off,0,off,75.0,No - Forecast 75.0°F
2026-04-08 20:40:00,unknown,64,off,on,65,off,75.0,No - Forecast 75.0°F
2026-04-08 20:50:00,78,64,off,on,65,off,75.0,No - Forecast 75.0°F
2026-04-08 21:00:00,unknown,64,off,on,0,off,75.0,No - Forecast 75.0°F
2026-04-08 21:10:00,78,64,off,on,65,off,75.0,No
2026-04-08 21:20:00,unknown,64,off,off,0,off,75.0,No
2026-04-08 21:30:00,78,64,off,on,65,off,75.0,No
2026-04-08 21:40:00,unknown,64,off,off,0,off,75.0,No
2026-04-08 21:50:00,78,64,off,on,65,off,75.0,No
2026-04-08 22:00:00,unknown,64,off,off,0,off,75.0,No
2026-04-08 22:10:00,78,64,off,on,65,off,75.0,No
2026-04-08 22:20:00,unknown,64,off,off,0,off,75.0,No
2026-04-08 22:30:00,78,64,off,on,65,off,75.0,No
2026-04-08 22:40:00,unknown,64,off,off,0,off,75.0,No
2026-04-08 22:50:00,78,64,off,on,65,off,75.0,No
2026-04-08 23:00:00,unknown,64,off,off,0,off,75.0,No
2026-04-08 23:10:00,78,64,off,on,65,off,75.0,No
2026-04-08 23:20:00,unknown,64,off,off,0,off,75.0,No
2026-04-08 23:30:00,78,64,off,on,65,off,75.0,No
2026-04-08 23:40:00,unknown,64,off,off,0,off,75.0,No
2026-04-08 23:50:00,78,64,off,on,65,off,75.0,No
2026-04-09 00:00:00,unknown,64,off,off,0,off,75.0,No
2026-04-09 00:10:00,78,63,off,on,65,off,75.0,No
2026-04-09 00:20:00,unknown,63,off,off,0,off,75.0,No
2026-04-09 00:30:00,78,63,off,on,65,off,75.0,No
2026-04-09 00:40:00,unknown,63,off,off,0,off,75.0,No
2026-04-09 00:50:00,78,63,off,on,65,off,75.0,No
2026-04-09 01:00:00,unknown,63,off,off,0,off,75.0,No
2026-04-09 01:10:00,78,63,off,on,65,off,75.0,No
2026-04-09 01:20:00,unknown,63,off,off,0,off,75.0,No
2026-04-09 01:30:00,78,63,off,on,65,off,75.0,No
2026-04-09 01:40:00,unknown,63,off,off,0,off,75.0,No
2026-04-09 01:50:00,78,63,off,on,65,off,75.0,No
2026-04-09 02:00:00,unknown,63,off,off,0,off,75.0,No
2026-04-09 02:10:00,78,63,off,off,0,off,75.0,No
2026-04-09 02:20:00,unknown,63,off,off,0,off,75.0,No
2026-04-09 02:30:00,78,63,off,on,65,off,75.0,No
2026-04-09 02:40:00,unknown,63,off,off,0,off,75.0,No
2026-04-09 02:50:00,78,63,off,on,65,off,75.0,No
2026-04-09 03:00:00,unknown,63,off,off,0,off,75.0,No
2026-04-09 03:10:00,78,63,off,off,0,off,75.0,No
2026-04-09 03:20:00,unknown,63,off,off,0,off,75.0,No
2026-04-09 03:30:00,78,63,off,on,65,off,75.0,No
2026-04-09 03:40:00,unknown,63,off,on,0,off,75.0,No
2026-04-09 03:50:00,77,63,off,off,0,off,75.0,No
2026-04-09 04:00:00,unknown,63,off,on,65,off,75.0,No
2026-04-09 04:10:00,77,63,off,on,65,off,75.0,No
2026-04-09 04:20:00,unknown,63,off,off,0,off,75.0,No
2026-04-09 04:30:00,77,63,off,on,65,off,75.0,No
2026-04-09 04:40:00,unknown,63,off,off,0,off,75.0,No
2026-04-09 04:50:00,77,63,off,on,65,off,75.0,No
2026-04-09 05:00:00,unknown,63,off,off,0,off,75.0,No
2026-04-09 05:10:00,77,63,off,on,65,off,75.0,No
2026-04-09 05:20:00,unknown,63,off,off,0,off,75.0,No
2026-04-09 05:30:00,77,63,off,on,65,off,75.0,No
2026-04-09 05:40:00,unknown,63,off,off,0,off,75.0,No
2026-04-09 05:50:00,77,63,off,on,65,off,75.0,No
2026-04-09 06:00:00,unknown,63,off,off,0,off,75.0,No
2026-04-09 06:10:00,77,63,on,off,0,off,75.0,No
2026-04-09 06:20:00,unknown,63,off,on,65,off,75.0,No
2026-04-09 06:30:00,77,63,on,off,0,off,75.0,No
2026-04-09 06:40:00,unknown,63,off,off,0,off,75.0,No
2026-04-09 06:50:00,77,63,off,on,65,off,75.0,No
2026-04-09 07:00:00,unknown,63,off,off,0,off,75.0,No
2026-04-09 07:10:00,77,63,on,off,0,off,75.0,No
2026-04-09 07:20:00,unknown,63,off,off,0,off,75.0,No
2026-04-09 07:30:00,77,63,on,off,0,off,75.0,No
2026-04-09 07:40:00,unknown,63,off,off,0,off,75.0,No
2026-04-09 07:50:00,77,63,off,on,65,off,75.0,No
2026-04-09 08:00:00,unknown,63,off,on,65,off,75.0,No
2026-04-09 08:10:00,77,63,off,on,65,off,75.0,No
2026-04-09 08:20:00,77,64,off,on,65,on,75.0,No
2026-04-09 08:30:00,77,64,off,on,65,on,75.0,No
2026-04-09 08:40:00,77,64,off,on,65,on,75.0,No
2026-04-09 08:50:00,77,64,off,on,65,on,75.0,No
2026-04-09 09:00:00,77,66,off,on,65,on,75.0,No
2026-04-09 09:10:00,77,68,off,on,65,on,75.0,No
2026-04-09 09:20:00,77,68,off,on,65,on,75.0,No
2026-04-09 09:30:00,77,68,off,on,65,on,75.0,No
2026-04-09 09:40:00,77,70,off,on,65,on,75.0,No
2026-04-09 09:50:00,77,72,off,on,65,on,75.0,No
2026-04-09 10:00:00,77,73,off,on,65,on,75.0,No
2026-04-09 10:10:00,77,73,off,on,65,on,75.0,No
2026-04-09 10:20:00,77,72,off,on,65,on,75.0,No
2026-04-09 10:30:00,78,73,off,on,65,on,75.0,No
2026-04-09 10:40:00,77,73,off,on,65,on,75.0,No
2026-04-09 10:50:00,77,73,off,on,65,on,75.0,No
2026-04-09 11:00:00,78,75,off,on,65,on,75.0,No
2026-04-09 11:10:00,78,75,off,on,65,on,75.0,No
2026-04-09 11:20:00,78,75,off,on,65,on,75.0,No
2026-04-09 11:30:00,78,73,off,on,65,on,75.0,No
2026-04-09 11:40:00,78,75,off,on,65,on,75.0,No
2026-04-09 11:50:00,78,75,off,on,65,on,75.0,No
2026-04-09 12:00:00,78,75,off,on,65,on,75.0,No
2026-04-09 12:10:00,78,75,off,on,65,on,75.0,No
2026-04-09 12:20:00,77,75,off,on,65,on,75.0,No
2026-04-09 12:30:00,78,73,off,on,65,on,75.0,No
2026-04-09 12:40:00,78,75,off,on,65,on,75.0,No
2026-04-09 12:50:00,78,75,off,on,65,on,75.0,No
2026-04-09 13:00:00,78,73,off,on,65,on,75.0,No
2026-04-09 13:20:00,78,73,off,on,65,on,75.0,No
2026-04-09 13:30:00,78,72,off,on,65,on,75.0,No
2026-04-09 13:40:00,78,72,off,on,65,on,75.0,No
2026-04-09 13:50:00,78,73,off,on,65,on,75.0,No
2026-04-09 14:00:00,78,73,off,on,65,on,75.0,No
2026-04-09 14:10:00,78,72,off,on,65,on,75.0,No
2026-04-09 14:20:00,78,73,off,on,65,on,75.0,No
2026-04-09 14:30:00,78,73,off,on,65,on,75.0,No
2026-04-09 14:40:00,78,73,off,on,65,on,75.0,No
2026-04-09 14:50:00,78,75,off,on,65,on,75.0,No
2026-04-09 15:00:00,78,75,off,on,65,on,75.0,No
2026-04-09 15:10:00,78,75,off,on,65,on,75.0,No
2026-04-09 15:20:00,78,75,off,on,65,on,75.0,No
2026-04-09 15:30:00,78,75,off,on,65,on,75.0,No
2026-04-09 15:40:00,78,73,off,on,65,on,75.0,No
2026-04-09 15:50:00,78,75,off,on,65,on,75.0,No
2026-04-09 16:00:00,78,75,off,on,65,on,75.0,No
2026-04-09 16:10:00,78,75,off,on,65,on,75.0,No
2026-04-09 16:20:00,78,75,off,on,65,on,75.0,No
2026-04-09 16:30:00,78,75,off,on,65,on,75.0,No
2026-04-09 16:40:00,78,75,off,on,65,on,75.0,No
2026-04-09 16:50:00,78,75,off,on,65,on,75.0,No
2026-04-09 17:00:00,78,75,off,on,65,on,75.0,No
2026-04-09 17:10:00,78,75,off,on,65,on,75.0,No
2026-04-09 17:20:00,78,75,off,on,65,on,75.0,No
2026-04-09 17:30:00,78,73,off,on,65,on,75.0,No
2026-04-09 17:50:00,78,73,off,on,65,on,75.0,No
2026-04-09 18:00:00,78,73,off,on,65,on,75.0,No
2026-04-09 18:10:00,78,73,off,on,65,on,75.0,No
2026-04-09 18:20:00,78,73,off,on,65,on,75.0,No
2026-04-09 18:30:00,78,73,off,on,65,on,75.0,No
2026-04-09 18:40:00,78,73,off,on,65,on,75.0,No
2026-04-09 18:50:00,78,73,off,on,65,on,75.0,No
2026-04-09 19:00:00,77,72,off,on,65,on,75.0,No
2026-04-09 19:10:00,77,72,off,on,65,on,75.0,No
2026-04-09 19:20:00,77,72,off,on,65,on,75.0,No
2026-04-09 19:30:00,77,72,off,on,65,on,75.0,No
2026-04-09 19:40:00,77,72,off,on,65,on,75.0,No
2026-04-09 19:50:00,77,72,off,on,65,on,75.0,No
2026-04-09 20:00:00,77,70,off,on,65,on,75.0,No
2026-04-09 20:50:00,77,68,off,on,65,off,75.0,No
2026-04-09 21:10:00,77,68,off,on,65,off,75.0,No
2026-04-09 21:30:00,77,68,off,on,65,off,75.0,No
2026-04-09 21:50:00,77,66,off,on,65,off,75.0,No
2026-04-09 22:00:00,unknown,66,off,on,65,off,75.0,No
2026-04-09 22:10:00,77,66,off,on,65,off,75.0,No
2026-04-09 22:30:00,76,64,off,on,65,off,75.0,No
2026-04-09 22:40:00,unknown,64,off,on,0,off,75.0,No
2026-04-09 22:50:00,76,64,off,on,65,off,75.0,No
2026-04-09 23:10:00,76,64,off,on,65,off,75.0,No
2026-04-09 23:30:00,76,64,off,on,65,off,75.0,No
2026-04-09 23:50:00,76,64,off,on,65,off,75.0,No
2026-04-10 00:00:00,unknown,63,off,on,0,off,75.0,No
2026-04-10 00:10:00,76,63,off,on,65,off,81.0,Yes
2026-04-10 00:20:00,76,63,off,on,65,off,81.0,Yes
2026-04-10 00:30:00,76,63,off,on,65,off,81.0,Yes
2026-04-10 00:40:00,76,63,off,on,65,off,81.0,Yes
2026-04-10 00:50:00,76,63,off,on,65,off,81.0,Yes
2026-04-10 01:00:00,76,63,off,on,65,off,81.0,Yes
2026-04-10 01:10:00,76,63,off,on,65,off,81.0,Yes
2026-04-10 01:20:00,76,63,off,on,65,off,81.0,Yes
2026-04-10 01:30:00,76,63,off,on,65,off,81.0,Yes
2026-04-10 01:40:00,76,63,off,on,65,off,81.0,Yes
2026-04-10 01:50:00,76,63,off,on,65,off,81.0,Yes
2026-04-10 02:00:00,76,63,off,on,65,off,81.0,Yes
2026-04-10 02:10:00,76,63,off,on,65,off,81.0,Yes
2026-04-10 02:20:00,76,63,off,on,65,off,81.0,Yes
2026-04-10 02:30:00,76,61,off,on,65,off,81.0,Yes
2026-04-10 02:40:00,76,61,off,on,65,off,81.0,Yes
2026-04-10 02:50:00,76,61,off,on,65,off,81.0,Yes
2026-04-10 03:00:00,76,61,off,on,65,off,81.0,Yes
2026-04-10 03:10:00,76,61,off,on,65,off,81.0,Yes
2026-04-10 03:20:00,76,61,off,on,65,off,81.0,Yes
2026-04-10 03:30:00,76,61,off,on,65,off,81.0,Yes
2026-04-10 03:40:00,75,61,off,on,65,off,81.0,Yes
2026-04-10 03:50:00,75,61,off,on,65,off,81.0,Yes
2026-04-10 04:00:00,75,61,off,on,65,off,81.0,Yes
2026-04-10 04:10:00,75,61,off,on,65,off,81.0,Yes
2026-04-10 04:20:00,75,61,off,on,65,off,81.0,Yes
2026-04-10 04:30:00,75,61,off,on,65,off,81.0,Yes
2026-04-10 04:40:00,75,61,off,on,65,off,81.0,Yes
2026-04-10 04:50:00,75,61,off,on,65,off,81.0,Yes
2026-04-10 05:00:00,75,61,off,on,65,off,81.0,Yes
2026-04-10 05:10:00,75,61,off,on,65,off,81.0,Yes
2026-04-10 05:20:00,75,61,off,on,65,off,81.0,Yes
2026-04-10 05:30:00,75,61,off,on,65,off,81.0,Yes
2026-04-10 05:40:00,75,61,off,on,65,off,81.0,Yes
2026-04-10 05:50:00,75,61,off,on,65,off,81.0,Yes
2026-04-10 06:00:00,75,61,off,on,65,off,81.0,Yes
2026-04-10 06:10:00,75,61,off,on,65,off,79.0,Yes
2026-04-10 06:20:00,75,61,off,on,65,off,79.0,Yes
2026-04-10 06:30:00,75,61,off,on,65,off,79.0,Yes
2026-04-10 06:40:00,75,61,off,on,65,off,79.0,Yes
2026-04-10 06:50:00,75,61,off,on,65,off,79.0,Yes
2026-04-10 07:00:00,75,61,off,on,65,off,79.0,Yes
2026-04-10 07:10:00,75,61,off,on,65,off,79.0,Yes
2026-04-10 07:20:00,75,61,off,on,65,off,79.0,Yes
2026-04-10 07:30:00,75,61,off,on,65,off,79.0,Yes
2026-04-10 07:40:00,75,61,off,on,65,off,79.0,Yes
2026-04-10 07:50:00,75,61,off,on,65,off,79.0,Yes
2026-04-10 08:00:00,75,63,off,on,65,off,79.0,Yes
2026-04-10 08:10:00,75,63,off,on,65,on,79.0,Yes
2026-04-10 08:20:00,75,63,off,on,65,on,79.0,Yes
2026-04-10 08:30:00,75,64,off,on,65,on,79.0,Yes
2026-04-10 08:40:00,75,64,off,on,65,on,79.0,Yes
2026-04-10 08:50:00,75,66,off,on,65,on,79.0,Yes
2026-04-10 09:00:00,75,66,off,on,65,on,79.0,Yes
2026-04-10 09:10:00,75,68,off,on,65,on,79.0,Yes
2026-04-10 09:20:00,75,68,off,on,65,on,79.0,Yes
2026-04-10 09:30:00,75,70,off,on,65,on,79.0,Yes
2026-04-10 09:40:00,75,70,off,on,65,on,79.0,Yes
2026-04-10 09:50:00,75,72,off,on,65,on,79.0,Yes
2026-04-10 10:00:00,75,72,off,on,65,on,79.0,Yes
2026-04-10 10:10:00,76,73,off,on,65,on,79.0,Yes
2026-04-10 10:20:00,76,73,off,on,65,on,79.0,Yes
2026-04-10 10:30:00,76,73,off,on,65,on,79.0,Yes
2026-04-10 10:40:00,76,73,off,on,65,on,79.0,Yes
2026-04-10 10:50:00,76,75,off,on,65,on,79.0,Yes
2026-04-10 11:00:00,77,75,off,on,65,on,79.0,Yes
2026-04-10 11:10:00,77,75,off,on,65,on,79.0,Yes
2026-04-10 11:20:00,77,75,off,on,65,on,79.0,Yes
2026-04-10 11:30:00,77,77,on,on,65,on,79.0,Yes
2026-04-10 11:40:00,77,77,on,on,65,on,79.0,Yes
2026-04-10 11:50:00,78,77,on,on,65,on,79.0,Yes
2026-04-10 12:00:00,79,79,on,on,65,on,79.0,Yes
2026-04-10 12:10:00,79,79,on,on,65,on,79.0,Yes
2026-04-10 12:20:00,78,79,on,on,65,on,79.0,Yes
2026-04-10 12:30:00,79,79,on,on,65,on,79.0,Yes
2026-04-10 12:40:00,79,79,on,on,65,on,79.0,Yes
2026-04-10 12:50:00,79,81,on,on,65,on,79.0,Yes
2026-04-10 13:00:00,79,81,on,on,90,on,79.0,Yes
2026-04-10 13:10:00,79,81,on,on,90,on,81.0,Yes
2026-04-10 13:20:00,79,81,on,on,90,on,81.0,Yes
2026-04-10 13:30:00,79,79,on,on,90,on,81.0,Yes
2026-04-10 13:40:00,80,81,on,on,90,on,81.0,Yes
2026-04-10 13:50:00,80,81,on,on,90,on,81.0,Yes
2026-04-10 14:00:00,80,81,on,on,90,on,81.0,Yes
2026-04-10 14:10:00,81,81,on,on,90,on,82.0,Yes
2026-04-10 14:20:00,81,81,on,on,90,on,82.0,Yes
2026-04-10 14:30:00,81,82,on,on,90,on,82.0,Yes
2026-04-10 14:40:00,81,82,on,on,90,on,82.0,Yes
2026-04-10 14:50:00,82,82,on,on,90,on,82.0,Yes
2026-04-10 15:00:00,82,81,on,on,90,on,82.0,Yes
2026-04-10 15:10:00,82,82,on,on,90,on,82.0,Yes
2026-04-10 15:20:00,82,82,on,on,90,on,82.0,Yes
2026-04-10 15:30:00,83,81,on,on,90,on,82.0,Yes
2026-04-10 15:40:00,83,81,on,on,90,on,82.0,Yes
2026-04-10 15:50:00,83,79,on,on,90,on,82.0,Yes
2026-04-10 16:00:00,83,79,on,on,90,on,82.0,Yes
2026-04-10 16:10:00,83,79,on,on,90,on,82.0,Yes
2026-04-10 16:20:00,83,79,on,on,90,on,82.0,Yes
2026-04-10 16:30:00,83,79,on,on,90,on,82.0,Yes
2026-04-10 16:40:00,84,79,on,on,90,on,82.0,Yes
2026-04-10 16:50:00,84,79,on,on,90,on,82.0,Yes
2026-04-10 17:00:00,84,81,on,on,90,on,82.0,Yes
2026-04-10 17:10:00,84,79,on,on,90,on,82.0,Yes
2026-04-10 17:20:00,84,81,on,on,90,on,82.0,Yes
2026-04-10 17:30:00,84,79,on,on,90,on,82.0,Yes
2026-04-10 17:40:00,85,79,on,on,90,on,82.0,Yes
2026-04-10 17:50:00,85,79,on,on,90,on,82.0,Yes
2026-04-10 18:00:00,85,77,on,on,90,on,82.0,Yes
2026-04-10 18:10:00,85,77,on,on,90,on,82.0,Yes
2026-04-10 18:20:00,85,77,on,on,90,on,82.0,Yes
2026-04-10 18:30:00,85,77,on,on,90,on,82.0,Yes
2026-04-10 18:40:00,85,77,on,on,90,on,82.0,Yes
2026-04-10 18:50:00,85,75,on,on,90,on,82.0,Yes
2026-04-10 19:00:00,86,75,on,on,90,on,82.0,Yes
2026-04-10 19:10:00,86,75,on,on,90,on,82.0,Yes
2026-04-10 19:20:00,86,73,on,on,90,on,82.0,Yes
2026-04-10 19:30:00,86,73,on,on,90,on,82.0,Yes
2026-04-10 19:40:00,86,73,on,on,90,on,82.0,Yes
2026-04-10 19:50:00,86,73,on,on,90,on,82.0,Yes
2026-04-10 20:00:00,86,72,on,on,90,on,82.0,Yes
2026-04-10 20:10:00,86,72,on,on,90,off,82.0,Yes
2026-04-10 20:20:00,86,72,on,on,77,off,82.0,Yes
2026-04-10 20:30:00,86,72,on,on,77,off,82.0,Yes
2026-04-10 20:40:00,86,70,on,on,77,off,82.0,Yes
2026-04-10 20:50:00,86,70,on,on,77,off,82.0,Yes
2026-04-10 21:00:00,86,70,on,on,77,off,82.0,Yes
2026-04-10 21:10:00,86,70,on,on,77,off,82.0,Yes
2026-04-10 21:20:00,85,68,on,on,77,off,82.0,Yes
2026-04-10 21:30:00,85,68,on,on,77,off,82.0,Yes
2026-04-10 21:40:00,85,68,on,on,77,off,82.0,Yes
2026-04-10 21:50:00,85,68,on,on,77,off,82.0,Yes
2026-04-10 22:00:00,85,68,on,on,77,off,82.0,Yes
2026-04-10 22:10:00,85,66,on,on,77,off,82.0,Yes
2026-04-10 22:20:00,85,66,on,on,77,off,82.0,Yes
2026-04-10 22:30:00,85,66,on,on,77,off,82.0,Yes
2026-04-10 22:40:00,85,66,on,on,77,off,82.0,Yes
2026-04-10 22:50:00,85,66,on,on,77,off,82.0,Yes
2026-04-10 23:00:00,85,66,on,on,77,off,82.0,Yes
2026-04-10 23:10:00,85,66,on,on,77,off,82.0,Yes
2026-04-10 23:20:00,84,64,on,on,77,off,82.0,Yes
2026-04-10 23:30:00,84,64,on,on,77,off,82.0,Yes
2026-04-10 23:40:00,84,64,on,on,77,off,82.0,Yes
2026-04-10 23:50:00,84,64,on,on,77,off,82.0,Yes
2026-04-11 00:10:00,85,64,off,on,65,off,82.0,Yes
2026-04-11 00:20:00,85,64,on,on,77,off,82.0,Yes
2026-04-11 00:30:00,85,64,on,on,77,off,82.0,Yes
2026-04-11 00:40:00,85,64,on,on,77,off,82.0,Yes
2026-04-11 00:50:00,85,64,on,on,77,off,82.0,Yes
2026-04-11 01:00:00,85,64,on,on,77,off,82.0,Yes
2026-04-11 01:10:00,85,64,on,on,77,off,81.0,Yes
2026-04-11 01:20:00,85,64,on,on,77,off,81.0,Yes
2026-04-11 01:30:00,86,63,on,on,77,off,81.0,Yes
2026-04-11 01:40:00,86,63,on,on,77,off,81.0,Yes
2026-04-11 01:50:00,86,63,on,on,77,off,81.0,Yes
2026-04-11 02:00:00,86,63,on,on,77,off,81.0,Yes
2026-04-11 02:10:00,86,63,on,on,77,off,81.0,Yes
2026-04-11 02:20:00,86,63,on,on,77,off,81.0,Yes
2026-04-11 02:30:00,86,61,on,on,77,off,81.0,Yes
2026-04-11 02:40:00,86,61,on,on,77,off,81.0,Yes
2026-04-11 02:50:00,86,61,on,on,77,off,81.0,Yes
2026-04-11 03:00:00,87,61,on,on,77,off,81.0,Yes
2026-04-11 03:10:00,87,61,on,on,77,off,81.0,Yes
2026-04-11 03:20:00,87,61,on,on,77,off,81.0,Yes
2026-04-11 03:30:00,87,61,on,on,77,off,81.0,Yes
2026-04-11 03:40:00,87,61,on,on,77,off,81.0,Yes
2026-04-11 03:50:00,87,61,on,on,77,off,81.0,Yes
2026-04-11 04:00:00,87,61,on,on,77,off,81.0,Yes
2026-04-11 04:10:00,87,61,on,on,77,off,81.0,Yes
2026-04-11 04:20:00,87,61,on,on,77,off,81.0,Yes
2026-04-11 04:30:00,88,61,on,on,77,off,81.0,Yes
2026-04-11 04:40:00,88,61,on,on,77,off,81.0,Yes
2026-04-11 04:50:00,88,61,on,on,77,off,81.0,Yes
2026-04-11 05:00:00,88,61,on,on,77,off,81.0,Yes
2026-04-11 05:10:00,88,61,on,on,77,off,81.0,Yes
2026-04-11 05:20:00,88,61,on,on,77,off,81.0,Yes
2026-04-11 05:30:00,88,61,on,on,77,off,81.0,Yes
2026-04-11 05:40:00,88,61,on,on,77,off,81.0,Yes
2026-04-11 05:50:00,88,61,on,on,77,off,81.0,Yes
2026-04-11 06:00:00,89,61,on,on,77,off,81.0,Yes
2026-04-11 06:10:00,89,61,on,on,77,off,81.0,Yes
2026-04-11 06:20:00,89,61,on,on,77,off,81.0,Yes
2026-04-11 06:30:00,89,59,on,on,77,off,81.0,Yes
2026-04-11 06:40:00,89,61,on,on,77,off,81.0,Yes
2026-04-11 06:50:00,89,61,on,on,77,off,81.0,Yes
2026-04-11 07:00:00,89,61,on,on,77,off,81.0,Yes
2026-04-11 07:10:00,89,61,on,on,77,off,81.0,Yes
2026-04-11 07:20:00,89,61,on,on,77,off,81.0,Yes
2026-04-11 07:30:00,89,61,on,on,77,off,81.0,Yes
2026-04-11 07:40:00,89,61,on,on,77,off,81.0,Yes
2026-04-11 07:50:00,89,61,on,on,77,off,81.0,Yes
2026-04-11 08:00:00,89,61,on,on,77,off,81.0,Yes
2026-04-11 08:10:00,89,61,on,on,77,on,81.0,Yes
2026-04-11 08:20:00,89,63,on,on,77,on,81.0,Yes
2026-04-11 08:30:00,89,63,on,on,77,on,81.0,Yes
2026-04-11 08:40:00,88,63,on,on,77,on,81.0,Yes
2026-04-11 08:50:00,88,64,on,on,77,on,81.0,Yes
2026-04-11 09:00:00,89,64,on,on,77,on,81.0,Yes
2026-04-11 09:10:00,88,68,on,on,77,on,81.0,Yes
2026-04-11 09:20:00,88,70,on,on,77,on,81.0,Yes
2026-04-11 09:30:00,88,72,on,on,77,on,81.0,Yes
2026-04-11 09:40:00,88,73,on,on,77,on,81.0,Yes
2026-04-11 09:50:00,88,73,on,on,77,on,81.0,Yes
2026-04-11 10:00:00,89,75,on,on,77,on,81.0,Yes
2026-04-11 10:10:00,88,75,on,on,77,on,81.0,Yes
2026-04-11 10:20:00,88,75,on,on,77,on,81.0,Yes
2026-04-11 10:30:00,88,73,on,on,77,on,81.0,Yes
2026-04-11 10:40:00,88,73,on,on,77,on,81.0,Yes
2026-04-11 10:50:00,88,73,on,on,77,on,81.0,Yes
2026-04-11 11:00:00,88,73,on,on,77,on,81.0,Yes
2026-04-11 11:10:00,88,73,on,on,77,on,81.0,Yes
2026-04-11 11:20:00,89,75,on,on,77,on,81.0,Yes
2026-04-11 11:30:00,89,75,on,on,77,on,81.0,Yes
2026-04-11 11:40:00,88,75,on,on,77,on,81.0,Yes
2026-04-11 11:50:00,89,77,on,on,77,on,81.0,Yes
2026-04-11 12:00:00,88,77,on,on,77,on,81.0,Yes
2026-04-11 12:10:00,89,77,on,on,77,on,81.0,Yes
2026-04-11 12:20:00,88,77,on,on,77,on,81.0,Yes
